,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
P1,0.0,3.47,5.47,6.14,6.62,2.18,3.68,1.35,0.43,0.32,3.96,7.47,5.11,6.19,3.62,6.73,4.7,5.29,1.41,1.53,7.96,3.47,1.69,4.95,2.13,4.66,2.13,5.54,4.26,6.58,6.58,2.14,5.95,5.4,5.05,5.35,2.93,5.1,8.18
P2,3.47,0.0,5.12,5.79,4.97,1.99,5.61,3.41,3.24,3.79,3.61,4.0,4.76,5.17,2.7,6.38,4.36,4.95,2.06,3.07,7.61,0.0,2.43,3.61,1.76,3.59,1.76,2.07,3.91,4.94,4.94,3.33,5.6,4.13,3.98,4.27,5.02,4.03,7.83
P3,5.27,5.12,0.0,1.17,3.85,4.27,2.42,4.08,5.16,5.44,1.51,6.68,0.36,2.71,2.93,1.76,1.01,0.17,5.43,3.73,2.99,5.12,5.88,8.56,5.73,8.27,5.73,5.49,1.21,3.91,3.91,3.33,1.57,9.01,8.66,8.95,2.98,8.71,3.58
P4,5.94,5.79,1.17,0.0,3.02,4.94,3.32,4.75,5.83,6.12,2.18,6.05,1.38,1.88,3.6,0.59,1.65,1.2,6.11,4.41,1.81,5.79,6.55,9.23,6.41,8.94,6.41,6.16,1.88,3.27,3.27,4.01,0.74,9.68,9.33,9.62,3.89,9.38,2.6
P5,6.62,4.97,3.85,3.02,0.0,4.85,5.86,5.45,6.49,6.82,3.31,3.98,3.59,1.14,3.26,2.66,2.93,3.76,6.09,5.11,3.82,4.97,6.45,8.58,6.31,8.56,6.31,4.8,3.2,0.25,0.25,4.94,2.27,9.1,8.95,9.25,6.3,9.0,4.04
P6,2.18,1.99,4.27,4.94,4.85,0.0,4.22,1.71,2.06,2.5,2.76,5.72,3.91,4.78,1.85,5.53,3.51,4.1,1.66,1.36,6.76,1.99,2.02,4.7,1.88,4.41,1.88,3.79,3.06,4.81,4.81,2.12,4.76,5.15,4.8,5.1,3.31,4.85,6.99
P7,3.68,5.61,2.42,3.32,5.86,4.22,0.0,2.65,3.89,3.36,2.78,8.49,2.53,4.89,4.2,3.84,2.95,2.44,4.17,2.86,5.07,5.61,4.63,7.71,4.89,7.42,4.89,6.75,2.79,5.83,5.83,2.53,3.86,8.16,7.81,8.11,1.15,7.86,5.86
P8,1.35,3.32,4.19,4.86,5.38,1.61,2.65,0.0,1.25,1.53,2.68,6.54,3.83,4.91,2.34,5.45,3.42,4.01,1.52,0.25,6.67,3.32,1.99,5.06,2.24,4.78,2.24,4.63,2.97,5.35,5.35,0.89,4.67,5.52,5.17,5.46,1.74,5.21,6.9
P9,0.43,3.34,5.37,6.04,6.49,2.06,3.89,1.25,0.0,0.75,3.85,7.34,5.01,6.09,3.49,6.63,4.6,5.19,1.27,1.43,7.85,3.34,1.26,4.6,1.78,4.31,1.78,5.41,4.15,6.45,6.45,2.14,5.85,5.05,4.7,5.0,2.98,4.75,8.08
P10,0.32,3.79,5.44,6.12,6.85,2.5,3.36,1.53,0.75,0.0,4.14,7.79,5.08,6.38,3.8,6.7,4.68,5.27,1.72,1.71,7.93,3.79,2.01,5.27,2.44,4.98,2.44,5.86,4.23,6.81,6.81,2.19,5.93,5.72,5.37,5.66,2.81,5.42,8.16
P11,3.75,3.61,1.51,2.18,3.31,2.76,2.78,2.57,3.65,3.94,0.0,5.71,1.15,2.55,1.42,2.77,0.75,1.34,3.92,2.22,4.0,3.61,4.37,7.04,4.22,6.76,4.22,3.97,0.3,3.27,3.27,2.05,2.0,7.5,7.15,7.44,3.09,7.2,4.22
P12,7.47,4.0,6.68,6.13,3.77,5.72,8.49,6.6,7.24,7.79,5.71,0.0,6.32,4.25,4.67,5.77,5.67,6.51,6.07,6.25,6.51,4.0,6.43,6.77,5.77,6.81,5.77,2.83,5.94,3.73,3.73,6.25,5.39,7.11,7.2,7.5,7.95,7.25,7.15
P13,4.91,4.76,0.36,1.33,3.59,3.91,2.53,3.72,4.8,5.08,1.15,6.32,0.0,2.46,2.57,1.92,0.65,0.18,5.08,3.38,3.14,4.76,5.52,8.2,5.38,7.91,5.38,5.13,0.85,3.55,3.55,2.97,1.33,8.65,8.3,8.59,3.09,8.35,3.56
P14,6.18,5.17,2.71,1.88,1.14,4.78,4.89,4.99,6.07,6.36,2.55,4.17,2.46,0.0,3.19,1.52,1.96,2.62,6.02,4.64,2.75,5.17,6.39,8.78,6.24,8.76,6.24,5.11,2.29,1.39,1.39,4.41,1.14,9.3,9.15,9.44,5.4,9.2,2.9
P15,3.49,2.7,2.93,3.6,3.26,1.85,4.2,2.31,3.39,3.67,1.42,4.67,2.57,3.19,0.0,4.19,2.16,2.76,3.09,1.96,5.42,2.7,3.46,6.13,3.31,5.85,3.31,2.94,1.72,3.22,3.22,1.96,3.41,6.59,6.24,6.53,3.66,6.29,5.64
P16,6.53,6.38,1.76,0.59,2.66,5.53,3.84,5.34,6.42,6.7,2.77,5.69,1.97,1.52,4.19,0.0,2.23,1.79,6.69,4.99,1.23,6.38,7.14,9.82,6.99,9.53,6.99,6.63,2.47,2.91,2.91,4.59,1.33,10.27,9.92,10.21,4.4,9.97,2.02
P17,4.55,4.41,1.01,1.65,2.93,3.56,2.95,3.37,4.45,4.73,0.8,5.67,0.65,1.96,2.22,2.23,0.0,0.84,4.72,3.02,3.46,4.41,5.17,7.84,5.02,7.56,5.02,4.77,0.5,2.9,2.9,2.62,1.46,8.3,7.95,8.24,3.51,7.99,3.69
P18,5.09,4.95,0.17,1.2,3.76,4.1,2.44,3.91,4.99,5.27,1.34,6.51,0.18,2.62,2.76,1.79,0.84,0.0,5.26,3.56,3.02,4.95,5.71,8.38,5.56,8.1,5.56,5.31,1.04,3.74,3.74,3.16,1.48,8.84,8.49,8.78,3.01,8.53,3.61
P19,1.41,2.06,5.51,6.19,6.09,1.66,4.17,1.52,1.18,1.72,4.0,6.07,5.16,6.02,3.09,6.77,4.75,5.34,0.0,1.7,8.0,2.06,0.47,3.54,0.72,3.26,0.72,4.13,4.3,6.05,6.05,2.41,6.0,4.0,3.65,3.94,3.25,3.7,8.23
P20,1.53,3.07,3.94,4.61,5.13,1.36,2.86,0.35,1.43,1.71,2.43,6.29,3.58,4.66,2.09,5.2,3.17,3.76,1.7,0.0,6.42,3.07,2.16,5.24,2.42,4.96,2.42,4.38,2.73,5.1,5.1,0.76,4.42,5.7,5.35,5.64,1.95,5.39,6.65
