,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
P1,0.0,4.77,6.25,7.17,8.86,2.9,3.93,1.44,0.6,0.34,5.0,9.22,6.53,7.62,4.74,7.72,6.11,6.43,1.75,1.74,9.45,4.77,2.35,5.97,2.76,5.46,2.76,7.85,5.45,8.8,8.8,2.63,7.91,6.25,6.05,6.48,3.34,6.13,10.96
P2,4.77,0.0,7.02,7.77,6.88,2.95,7.19,4.85,4.7,5.1,5.12,5.91,6.64,7.0,3.58,8.4,6.22,6.84,3.01,4.53,9.1,0.0,3.46,5.05,2.63,4.63,2.63,3.08,5.57,6.81,6.81,4.81,7.7,5.42,5.21,5.64,6.74,5.29,10.95
P3,6.25,7.02,0.0,1.55,4.83,6.01,2.62,4.81,6.18,6.01,1.9,7.24,0.38,3.5,3.99,2.1,1.11,0.19,6.64,4.76,3.83,7.02,7.24,10.86,7.65,10.36,7.65,7.25,1.46,5.2,5.2,4.19,2.21,11.14,10.94,11.37,3.26,11.02,5.33
P4,7.17,7.77,1.55,0.0,3.67,6.84,3.54,5.73,7.1,6.93,2.97,6.08,1.88,2.34,4.83,0.87,2.11,1.69,7.56,5.82,2.62,7.77,8.16,11.78,8.57,11.28,8.57,6.91,2.53,4.04,4.04,5.11,0.89,12.06,11.86,12.29,4.18,11.94,4.11
P5,8.74,6.88,4.92,3.75,0.0,6.77,7.13,7.47,8.67,9.08,4.75,3.76,4.54,1.42,4.6,3.04,3.81,4.73,8.57,6.99,3.34,6.88,9.02,11.76,8.96,11.51,8.96,5.99,4.37,0.38,0.38,6.8,2.86,12.27,12.09,12.52,7.78,12.17,5.6
P6,2.9,2.95,6.01,6.84,6.77,0.0,5.27,2.45,2.83,3.23,4.1,6.91,5.62,6.35,2.72,7.47,5.2,5.82,2.39,1.97,9.01,2.95,2.84,5.99,2.78,5.48,2.78,5.59,4.55,6.7,6.7,3.03,6.78,6.27,6.06,6.49,4.35,6.15,10.02
P7,3.93,7.19,2.62,3.54,7.05,5.16,0.0,2.82,4.19,3.59,3.17,9.46,3.0,5.72,5.16,4.09,3.56,2.81,4.65,3.19,5.82,7.19,5.25,8.87,5.66,8.37,5.66,8.78,3.34,7.42,7.42,2.74,4.43,9.15,8.95,9.38,1.27,9.03,7.33
P8,1.44,4.85,4.81,5.73,7.49,2.35,2.82,0.0,1.38,1.78,3.63,8.1,5.15,6.25,3.37,6.28,4.73,4.99,1.84,0.37,8.01,4.85,2.43,6.05,2.85,5.55,2.85,6.86,4.08,7.42,7.42,1.19,6.54,6.34,6.13,6.56,1.89,6.21,9.52
P9,0.6,4.7,6.18,7.11,8.8,2.83,4.19,1.38,0.0,0.94,4.94,9.15,6.46,7.56,4.67,7.66,6.04,6.37,1.69,1.68,9.39,4.7,1.86,5.8,2.59,5.3,2.59,7.79,5.39,8.73,8.73,2.56,7.85,6.08,5.88,6.31,3.27,5.96,10.89
P10,0.34,5.1,6.01,6.93,9.2,3.23,3.59,1.78,0.94,0.0,5.34,9.55,6.39,7.96,5.08,7.48,6.17,6.19,2.09,2.08,9.21,5.1,2.69,6.3,3.1,5.8,3.1,8.19,5.52,9.13,9.13,2.97,7.82,6.59,6.38,6.81,3.09,6.47,10.72
P11,4.6,5.12,1.9,2.97,4.66,4.1,3.17,3.34,4.53,4.94,0.0,6.64,1.52,3.33,2.09,3.85,1.1,1.72,4.99,2.85,5.59,5.12,5.59,9.21,6.0,8.71,6.0,5.71,0.45,4.71,4.71,2.66,2.91,9.49,9.29,9.72,3.82,9.37,6.5
